Position(bp)	Rate(cM/Mb)	Map(cM)
4248	2.013031240221132	0.0
4307	1.3402040262855952	0.00011876885365599248
4676	1.3234481328882859	0.0006133040575779702
4725	1.2732747992072597	0.0006781530718681551
7241	0.8869819025764061	0.0038817124491498903
7301	0.8170975539793467	0.0039349313914676136
7412	0.6845282152915406	0.004025629237509127
8458	0.5069613799937415	0.004741645744236989
8723	0.3510225565870449	0.004875990429748616
10422	0.33657765724418476	0.005472377777198292
12753	0.3478206425367686	0.006256940205486596
12929	0.3296242046521332	0.006318156748722228
13545	0.329353030144988	0.006521204991133826
13611	0.32669719411703363	0.006542942474183793
14447	0.2856000573693545	0.006816061437363097
14697	0.2607476791488475	0.006887461353916763
15047	0.2501862939397101	0.006978722984249503
15928	0.25096693439032014	0.0071991369823719556
16045	0.2490257640554919	0.007228500365077709
16088	0.24408284656305412	0.007239208302910189
17032	0.24293663294044013	0.0074696226400333765
17404	0.23927146135391683	0.007559995175758838
18624	0.22646542192552407	0.007851906461875455
20788	0.228564018984041	0.00834197723479712
20862	0.2287373005111088	0.008358890919995827
24189	0.23338833837488268	0.009119899812245756
24509	0.23432345885052674	0.009194584150412017
27534	0.23274507145092316	0.009903411859810168
28358	0.2150238604360071	0.010095193882340675
30133	0.2174867789715239	0.010476861061854588
31087	0.20451233441118177	0.010684343173046838
32112	0.19515617502868457	0.010893968316470222
35183	0.20204748617920107	0.01149329276624596
35753	0.203402654636487	0.01160845981537499
35958	0.20838593929279234	0.011650157400646708
36325	0.21430567435068315	0.01172663505267549
36770	0.21971051945342643	0.01182200104307917
39974	0.24594403880254506	0.01252595353082299
40319	0.24889746531761756	0.012610804240116829
41984	0.2563611661625117	0.013025218577240013
42794	0.2684404923333682	0.013232870997183687
42897	0.2724506884322519	0.013260520548659643
43587	0.2703530562219672	0.013448511343485977
43721	0.27566084280796904	0.013484738682591008
44195	0.2705613069781997	0.013615401794096177
44810	0.2625235214352771	0.013781796990716596
45045	0.25120882444977566	0.01384349022113279
46363	0.2497558412433503	0.014174583576718471
46579	0.24253674246375298	0.014228530718681546
46870	0.21901877542505477	0.014299108949619267
48094	0.2055941378950663	0.014567187780327527
48490	0.1933450245123604	0.014648603238760825
49378	0.19173949097736528	0.01482029373109419
49756	0.19174598414519659	0.01489277133096901
50367	0.1892580056326275	0.015009927818921458
50436	0.18249256806091582	0.015022986648586634
51485	0.17973359758005636	0.0152144214822155
56879	0.17770835506414936	0.016183904662563885
56971	0.17259111296547405	0.016200253859392926
57595	0.16806057682278086	0.016307950688432254
58218	0.16447754772087197	0.016412652446020658
59385	0.16287068425993542	0.016604597632210283
61292	0.16327785021383123	0.01691519213518307
63975	0.16501350787524763	0.017353266532804838
66802	0.16540171586523422	0.01781975933555856
66865	0.1655725983102117	0.017830179800771884
66959	0.16548586627725043	0.017845743663294042
68252	0.16351170856368	0.018059716804005435
71961	0.16805619589026807	0.018666181365390635
73318	0.17304975487639507	0.018894233832272875
73447	0.17379323563158444	0.0189165571607385
73511	0.17280369250026079	0.018927680087618647
77127	0.179496349222906	0.019552537863773867
77197	0.17929837279649521	0.019565102795452177
77929	0.1782825962240534	0.019696348962136217
78167	0.17207012099718366	0.019738780301449883
79369	0.16435798477104405	0.019945608506310636
81606	0.16179920725983102	0.020313277250443313
83431	0.15991931782622312	0.020608560785438625
84408	0.1595872535725462	0.020764802127881506
86742	0.1590583863565245	0.021137278606446222
92811	0.15969223949097747	0.022102603786377382
93178	0.1606902054865964	0.022161210962762072
93791	0.1617701314279754	0.022259713987691672
94098	0.16344017940961728	0.022309377490351515
98799	0.16582564931678312	0.02307770976322103
100719	0.16544174402837178	0.023396094972358394
104173	0.166356576614165	0.0239675309012204
105305	0.1749385104829456	0.02415584640659225
105763	0.17491112965474082	0.024235968264316263
106582	0.175270626890581	0.024379220506936475
107568	0.1757490873057265	0.024552037394388243
107657	0.178167805361427	0.024567679096693433
107847	0.17758712318765	0.024601531057682275
108760	0.18085422968603312	0.024763667961823287
110013	0.1839912902889329	0.02499027808490665
110718	0.18762579534786686	0.02511999186398248
111401	0.18840873057265045	0.025248140424533216
112311	0.19048318034838843	0.025419592521122348
115084	0.20038528736831124	0.025947802545113176
115990	0.20212084072181083	0.026129351674142074
116025	0.20418793678940234	0.026136425810994065
118989	0.21893394701157828	0.02674163909460728
119019	0.22440286325232095	0.026748207233754033
119512	0.23108936580786488	0.026858837775112145
119541	0.235015672264525	0.026865539506623553
120204	0.25175114738708665	0.027021354855533527
120861	0.2724973401481174	0.02718675537185772
121301	0.28706354959841457	0.027306654167101287
121325	0.2998867737561281	0.02731354370501721
122064	0.3219701418587671	0.027535159930113687
122243	0.29729748617920093	0.027592792661938034
126616	0.309778684677167	0.02889287467403776
127132	0.36975169500365074	0.029052720428705544
127995	0.4716993585063105	0.029371816261604268
129420	0.5495178105768229	0.030044459502451236
129737	0.6146546625638888	0.03021810725461563
131613	0.6386608167309898	0.03137119909773652
134040	1.0584383018671117	0.032921228929800775
134408	1.4725461562532596	0.033310734197350596
136588	1.5220512673411914	0.036520884948367575
136784	1.6186693439032025	0.036819206946907275
139258	3.0237563106289773	0.04082379506102013
140478	3.14004099301137	0.04451277764159798
142416	2.4123181391467603	0.050598177479920715
142829	1.9047600657139891	0.05159446477000104
143032	1.499249999999999	0.051981131141128616
143897	1.277248852612913	0.05327798224157713
144509	1.2604409356420154	0.05405965862626475
145364	1.2528755867320325	0.05513733537603006
148893	1.189909330343173	0.059558733675810965
149859	1.1897824136851987	0.06070818613747781
150922	1.057626186502556	0.06197292479399182
153435	0.7091269688119323	0.06463073969959318
154090	0.6939024199436734	0.06509521797746948
155415	0.7070576822780849	0.06601463841660585
156415	0.7075404453948057	0.06672169609888393
158782	0.7054386669448212	0.06839644442995724
159197	0.6449378846354439	0.06868920165328049
159523	0.5110850109523312	0.06889945123604883
160608	0.48077498174611466	0.06945397866903096
161644	0.4509161625117347	0.06995206146344009
166201	0.46787232710962773	0.07200688625221653
166349	0.44566749243767634	0.0720761313758214
167110	0.42491631897361004	0.07241528429122768
167771	0.4018852352143527	0.07269615421925525
168670	0.396328309168666	0.07305744901950559
170636	0.39400179931156765	0.07383663038489624
172313	0.3546001095233129	0.07449737120579955
172715	0.3456684051319495	0.07463992030875141
173272	0.35102944090956495	0.07483245778137061
174339	0.3556794617711485	0.0752070060759362
174797	0.3541558621049338	0.07536990737456971
176376	0.3513698237196202	0.07592911938041094
176529	0.3803219203087513	0.07598287902889332
177950	0.43487621257953474	0.07652331626160427
178135	0.4209518358193387	0.07660376835819341
180922	0.3791111661625118	0.07777696085845416
182595	0.36365815687910724	0.07841121406592261
184889	0.3935040940857413	0.07924544591634505
185476	0.4284386147908626	0.0794764328778554
186735	0.5593428601230832	0.08001583699280279
