Position(bp)	Rate(cM/Mb)	Map(cM)
6576	1.914836457044035	0.0
7707	1.962375518583852	0.0021656805338222925
9914	1.687550591532628	0.0064966189624607595
11915	1.4820541147809925	0.009873410701550484
12532	1.0747553392571076	0.010787829324524302
12657	1.0444818637819655	0.01092216591528318
12941	1.0251813491693234	0.011218811537687222
17029	0.9439877001054343	0.015409778188818597
22322	0.9412170666208944	0.02040632609220059
25316	1.1293070776391498	0.02322432645201854
26642	0.8871192738380143	0.02472179906387451
27461	0.9724766997769745	0.025448346821981393
28806	0.8697284614011566	0.02675633627942858
31535	0.8479077660483395	0.029129814324591368
32030	0.8431961237949696	0.029549526164257846
32142	0.8171020784914217	0.029643962502180047
33645	0.8071778884959511	0.030872073187471264
34053	0.8269949618938467	0.031201402893014964
34206	0.8533394599417596	0.03132792848880895
36155	0.8699632608489989	0.03299109124435902
36609	0.8356981947605369	0.03338605522222292
39358	0.7918689644966291	0.035683379979802164
42373	0.8129696082093961	0.03807085207205635
44965	0.7702674152951318	0.04017805189006938
45033	0.7913837123044215	0.04023044347353126
46245	0.7930742683288865	0.04118958356467079
46652	0.7906793139608944	0.041512370192267944
46849	0.7962049276334514	0.041668136145966574
48721	0.8162098405896206	0.04315861173427685
48828	0.8074753011298849	0.043245941475577684
48870	0.7985059622223065	0.04327986216914265
50679	0.8203423108716462	0.04472436402556538
51342	0.8171803449740357	0.04526825346654743
51511	0.8109190263649061	0.045406362501768306
52118	0.7691560312420113	0.04589858041092851
53299	0.8117956109701844	0.04680695686144452
56891	0.8246469674154231	0.04972293120419882
57827	0.8048612006105732	0.05049481090903579
60847	0.8053621060993036	0.05292548609969299
60914	0.8179317032071313	0.052979443012807166
63354	0.8034680572200418	0.05497520701287419
64312	0.8102928945039932	0.05574492656279102
64513	0.8006504638459334	0.055908613084530205
65102	0.8081640461768891	0.056380184295576806
66039	0.7939351996376419	0.05713662985004227
66113	0.7861555112657983	0.057195376671892444
66493	0.8076161807985903	0.05749411983603055
69602	0.8413646881017992	0.060004986864774144
70563	0.8522906890747305	0.060813542243364105
72389	0.8493791759214852	0.06236983994355286
72947	0.8500522676719664	0.06284379045567093
73758	0.8658151372704505	0.06353319294112915
74031	0.8677717993358035	0.06376955771862379
74158	0.8225494256813646	0.06387975692614448
75514	0.8116703845980016	0.06499513256987832
76144	0.8252104860902445	0.06550649446068593
76656	0.778078410260021	0.06592899258713347
78390	0.81858914166109	0.06727818152102873
79981	0.8115138516327733	0.06858055144502423
87132	0.8060821577393535	0.07438366675833778
87434	0.8247878470841282	0.07462710682586075
87791	0.7893174771634088	0.07492156098675161
89667	0.817446451014924	0.07640230022462467
93955	0.7876738810285122	0.07990752726168417
97685	0.7951718100629451	0.08284557275253565
98744	0.7620337813241262	0.0836876574922775
99953	0.7514521528746971	0.08460894791242483
100357	0.7664793175366084	0.08491254359848502
101087	0.7835414107464868	0.08547207068269337
102974	0.808805831334325	0.08695063411234977
104779	0.8027636588765148	0.08841052315925443
105433	0.8042194154531374	0.08893553472462996
106943	0.797942443547485	0.09014990181557415
107293	0.7864216173066864	0.09042918793213436
111187	0.7344526728509101	0.09349150494408055
114039	0.7323081712272832	0.09558616647157879
115332	0.7543323594348967	0.09653305003154095
115360	0.7720831976917794	0.09655416632855024
115842	0.7772487855443114	0.0969263234533804
116179	0.7812560294541543	0.0971882500640968
119166	0.7835101041534411	0.09952187481631247
124593	0.7964084204882481	0.10377399889695851
124788	0.7715666389065262	0.10392929525176145
126224	0.7967684463082731	0.10503726688624002
129491	0.8394549859260145	0.10764109884303266
129667	0.8092284703404411	0.10778800503089936
129774	0.8310804722863036	0.10787458341396709
130889	0.850553173160697	0.10880207253953748
131513	0.8251791794971989	0.10933196793342813
133747	0.8145505911582013	0.11117542535832808
134267	0.8328336414968598	0.11159898790893918
135504	0.8354320887196488	0.11262920961958886
136096	0.8553430818966811	0.113123791176524
136631	0.8646724466242843	0.11358139964707226
137109	0.8881367381119977	0.11399470928846091
137991	0.9083451439229637	0.1147780472063526
138632	0.8582389417534035	0.11536028722381556
140022	0.8349624898239641	0.1165532406051165
140123	0.8355886216848769	0.1166375805667815
140846	0.8417560205148698	0.11724170389278336
140877	0.8419751666661892	0.11726779793808692
141270	0.8242712882988752	0.1175986929732829
142731	0.7972380452039577	0.11880296368796986
143540	0.7664793175366084	0.1194479421178963
143699	0.7672619823627496	0.11956980303132647
144267	0.7766383069799212	0.12000562211311494
145060	0.8060038912567393	0.12062148541150895
146078	0.7942013056785299	0.12144199990864235
147290	0.767481128514069	0.12240456807172038
148491	0.7637243373485912	0.12332631243746686
149636	0.8064891434489471	0.12420078384771444
150332	0.8295777558201125	0.12476211106102293
150629	0.8624966384076118	0.12500849394829217
151144	0.9023029714651536	0.12545267189042383
151480	0.9215095662986591	0.1257558449374779
151955	0.9592496642151879	0.12619357372144213
152753	0.9344548425230345	0.1269590512280013
153787	0.9456626028333767	0.12792528226246563
154116	0.9022247049825396	0.12823640718415333
155184	0.9133385455137447	0.1291999771582088
156644	0.9681720432331977	0.13053343452909863
156899	0.9885213287128691	0.1307803183218566
158646	0.9674676448896706	0.13250728391403369
161023	0.9490906747718753	0.13480695666609138
161482	0.9439250869193431	0.13524258790832155
162164	0.9721010206604266	0.13588634538111927
162355	0.9188641591863015	0.13607202478447297
163029	0.8754888745215557	0.136691331808102
165744	0.8608530422727152	0.13906828488509285
166406	0.9337034842899389	0.13963817445159932
168388	0.9297432002696645	0.14148876977971367
170087	0.9761395711633154	0.14306840654501793
171182	1.0490056664770617	0.1441372762447825
171351	1.0681966080140441	0.14431454982790348
173174	0.9307137046540795	0.14626186687523235
173768	1.004738143910515	0.14681471000182547
175116	1.3215452122359534	0.14816911148346282
175168	1.385066289525574	0.148237829455198
175203	1.3115584090543915	0.1482863077145292
175557	1.0625770745623504	0.1487506001426927
177979	1.0668504245130812	0.15132415862401022
178165	1.1840153489864202	0.15152259546403007
178708	1.1547123778956934	0.15216550765881548
179352	1.3962427432428703	0.1529091488167253
179681	1.5405191772937408	0.1533685104564841
180223	1.4185643440844176	0.15420347294630807
181904	1.0625457679693047	0.15658806483200205
182070	1.1812916753914489	0.15676444617722124
182869	1.1091143251247066	0.15770829299765798
183082	1.1510808131023982	0.15794453254878044
183954	1.3141881628702259	0.15894826888171346
184232	1.3069250332836355	0.15931361682255618
184734	1.1569194927054116	0.15996969343971731
193657	1.0942123868349778	0.17029293292344422
193694	1.016227663558268	0.17033342800154877
194572	1.1278826276555727	0.17122566590334973
194882	1.1986042213456924	0.17157531358778005
196862	1.2135531195249893	0.17394855683349497
200329	1.2552221948687474	0.17815595944597531
200634	1.3193224441297122	0.17853880777233055
200749	1.27513318804578	0.17869051952222975
203137	1.475432770351838	0.18173555529481475
203727	1.057004501000225	0.18260605076774553
205264	1.1319837913445525	0.1842306751072564
205473	1.1822152198862954	0.1844672590309024
205623	1.100191946106697	0.18464459522720947
205731	1.1083003537055196	0.18476341940111424
205797	1.1336900006655406	0.1848365672557654
206460	1.107736835030698	0.18558820724819836
206497	1.1542584322965315	0.18562918757849506
207270	1.072673450819572	0.18652142548029604
207886	1.088874612720695	0.18718219808641406
208404	1.0851491281482628	0.18774623332002097
208463	1.0447636231193766	0.1878102553027993
209704	1.0552356784931458	0.18910681785378486
210394	1.1701465282671981	0.18983493094154402
213629	1.3053753569278759	0.19362035198636207
214158	1.1550567504191953	0.19431089716246644
214388	1.2354677346569434	0.19457656491105182
214679	1.096701260982107	0.1949360741722915
216902	1.1729797749378292	0.19737405945242487
219866	1.2163394063060522	0.2008507818365163
220409	1.0695897514045756	0.20151125703000033
221703	1.063938911359836	0.20289532150854842
223552	1.038142278690222	0.20486253389575784
223630	1.0048164103931292	0.20494350839867043
226344	1.0077279235463743	0.20767059441228383
226937	1.0339628485186279	0.20826817466033912
228837	1.175124276561456	0.2102327103338431
233356	1.2457989103620073	0.21554307552591476
234565	1.1963657999429285	0.21704925137063738
235796	1.1004267455545391	0.21852197612069077
237933	1.1848919335916985	0.22087358651061115
240936	1.1006771982989043	0.22443179995640042
240984	1.16649931017738	0.22448462983216497
241085	1.2248704529109913	0.22460245219509228
241892	1.2282515649599213	0.22559092656391555
242528	1.232650141282835	0.22637208867359057
243425	1.1748894771136138	0.2274777749267768
244595	0.9606115010126736	0.22885240046752162
244802	0.9993377566101407	0.22905124429325102
244853	1.0505396895362986	0.22910221142672937
246074	1.0000734615467135	0.23038492081029222
248453	1.1424245401252764	0.23276409665538933
254680	0.9628655757119603	0.2398780033662276
254982	0.9404030952017076	0.2401687790024356
257033	1.0863387786839975	0.2420975625466815
259418	1.0748336057397216	0.24468956061130293
261378	1.0690731926193224	0.24679514813977407
266166	0.9571521224811295	0.2519138543692202
267226	1.1819491138454075	0.252928422783347
267891	1.2473329334212442	0.25371442176164766
268263	1.1820117270314987	0.2541784167771772
271833	1.2136313860076038	0.2583982168005036
274863	1.6641332599344831	0.26207552052623845
275038	1.804277223703328	0.2623667501080456
275072	1.426923204427606	0.26242809537711853
275755	1.1586100487298765	0.2634026696186296
276047	1.115046924506857	0.2637409999696739
276812	1.0779642650442864	0.2645940107103887
278633	1.188038246192786	0.2665569810542404
282033	1.3965245025802813	0.2705962985686587
282061	1.0877632286675742	0.2706354005033727
283589	1.0517762999616016	0.2722975144880557
283754	0.986408133682288	0.27247104693330776
284083	0.9862829073101055	0.2727955867301155
284526	1.0489273999944477	0.27323250154266054
285423	1.2716111963281445	0.2741733898900544
